scenario_id,section_id,instruction,keyword,answer,anthro_level
1,0,null,null,Hi. I’m David. I am a medical expert specialized in virology. It’s my pleasure to serve you today,1
1,1,"Please, use the chat to say hi and introduce yourself. You should use the name Paul if you are male and Christine if you are female.",hi | hello | name,"Hi, [name:null] [emoji:null]. What can I do for you today?",1
1,2,"Please tell the expert that you would like some medical advice as you are considering whether to get vaccinated, but you heard that some scientists cast doubts on the vaccine safety.",advice | vaccine | doubts | safety,"Sure [name:null]! I am happy to give you some advice about it. But before I can give you any advice, I need to ask you some personal information. This information will remain confidential. Is it ok?",1
1,3,"Please enter ""yes"", acknowledged that you understand and that you are willing to proceed",yes | understand | proceed,"Great! First, could you please tell me your age and whether you have any preexisting medical condition?",1
1,4,"Please write your age and state whether you have preexisting medical conditions. In this task, your age is 32 and you do not have any preexisting medical condition.",age | 32 | do not have | don't have | preexisting medical condition,Thank you. Could you please also tell me if you have any allergy to any medication?,1
1,5,Please enter “yes”. Also please specify the medication you are allergic to. In this task you are allergic to penicillin.,yes | penicillin,"I understand. Next, could you tell me the city you are currently living in?",1
1,6,"Please enter the name of the city you are currently living in. In this task, you are living in Los Angeles (or Shenzhen for Chinese participants).",null,"Got it! I guess the weather is quite good there today [emoji:null]. Now, I need to know more about your travelling plans. Are you planning to go on holiday or travel outside of the country in the next few months?",1
1,7,"Please enter “yes”. Also, please specify the location you plan to go. Say that you want to go to Australia for few weeks.",yes | Australia,"Good to know! Currently, the epidemic seems to be quite under control. However, there are still a few new infections every day. Although the vaccine has been developed in a short period of time, the vaccine efficacy in preventing the infection is about 75%. Up to now, nearly 100,000 people across the country have been vaccinated and no serious side effects were reported. Vaccination reduces the infection by introducing antibodies to the virus into your body. It won't destroy any of your body's functions and will rarely produce serious allergic reactions. Given your age, your current medical conditions and your history of allergies, I would not worry about the vaccination side effects. As you plan to travel outside of the country, I strongly recommend you get vaccinated.",1
1,8,Please acknowledge that you understood the information provided by the advisor and thank the advisor.,understand | understood | thank | thanks,"No problem. Is there anything else I can help you with, [name:null]?",1
1,9,Please say that you do not have any other question and thank the advisor once again.,don't | no | thanks | thank,"It was my pleasure to advise you to day [name:null]. Please, click on the end-chat button to end the chat. Stay safe and have a nice day!",1
1,0,null,null,"Hi. I’m bot#15789, a medical expert specialized in virology. It’s my pleasure to serve you today",0
1,1,"Please, use the chat to say hi and introduce yourself. You should use the name Paul if you are male and Christine if you are female.",hi | hello | name,Hi [name:null]. What can I do for you today?,0
1,2,"Please tell the expert that you would like some medical advice as you are considering whether to get vaccinated, but you heard that some scientists cast doubts on the vaccine safety.",advice | vaccine | doubts | safety,"Understood. I can give you some advice about it. Before I can give you any advice, I need to ask you some personal information. This information will remain confidential. Do you agree with it?",0
1,3,"Please enter ""yes"", acknowledged that you understand and that you are willing to proceed",yes | understand | proceed,"First, I need to know your age and whether you have any preexisting medical condition.",0
1,4,"Please write your age and state whether you have preexisting medical conditions. In this task, your age is 32 and you do not have any preexisting medical condition.",age | 32 | do not have | don't have | preexisting medical condition,Now I need to know whether you have any allergy to any medication.,0
1,5,Please enter “yes”. Also please specify the medication you are allergic to. In this task you are allergic to penicillin.,yes | penicillin,"Next, I need to know the city you are currently living in.",0
1,6,"Please enter the name of the city you are currently living in. In this task, you are living in Los Angeles (or Shenzhen for Chinese participants).",null,"Now, I need to know whether you are planning to go on holiday or travel outside of the country in the next few months.",0
